meeting_date,sentiment_score,version_timestamp
2007-03-21,0.08663364,2007-01-31
2007-05-09,0.046258412,2007-01-31
2007-06-28,0.039000265,2007-01-31
2007-08-07,0.09408603,2007-01-31
2007-09-18,0.06919743,2007-01-31
2007-10-31,0.11831881,2007-01-31
2007-12-11,0.11520668,2007-01-31
2008-01-30,-0.014967989,2007-01-31
2008-03-18,0.11765167,2007-01-31
2008-04-30,0.06366836,2007-01-31
2008-06-25,0.038775645,2007-01-31
2008-08-05,0.07845815,2007-01-31
2008-09-16,0.06469641,2007-01-31
2008-10-29,0.090461455,2007-01-31
2008-12-16,0.045240548,2007-01-31
2009-01-28,-0.014967989,2007-01-31
2009-03-18,0.083464555,2007-01-31
2009-04-29,0.020932311,2007-01-31
2009-06-24,0.031281438,2007-01-31
2009-08-12,0.024212953,2007-01-31
2009-09-23,-0.007352487649768591,2009-08-12
2009-11-04,-0.020227283239364624,2009-08-12
2009-12-16,0.01702207326889038,2009-08-12
2010-01-27,-0.01155195664614439,2009-08-12
2010-03-16,0.000704264675732702,2009-08-12
2010-04-28,-0.01034748274832964,2009-08-12
2010-06-23,-0.010464590974152088,2009-08-12
2010-08-10,0.012073825113475323,2009-08-12
2010-09-21,0.03583141043782234,2009-08-12
2010-11-03,0.09714396297931671,2009-08-12
2010-12-14,0.04077579453587532,2009-08-12
2011-01-26,0.027255576103925705,2009-08-12
2011-03-15,0.04147355258464813,2009-08-12
2011-04-27,0.0014081201516091824,2009-08-12
2011-06-22,0.0220663920044899,2009-08-12
2011-08-09,-0.07184720784425735,2009-08-12
2011-09-21,-0.014089197851717472,2009-08-12
2011-11-02,-0.03454029560089111,2009-08-12
2011-12-13,-0.058438990265131,2009-08-12
2012-01-25,0.02678973600268364,2009-08-12
